document	label
보면서 펑펑 울었던 영화. 최근작품보다 고전 로미오와 줄리엣이 최고인것 같네요.	1
굿	1
3시간이 넘는 러닝타임이 전혀 지루하지 않았다. 10점 밖에 못 주는 것이 아쉬울 뿐이다.	1
"누군가했더니 노킹온헤븐스도어, 드리븐에 나오셨던 분이군.. 감독까지 ㄷㄷ;"	1
감동적이고 여운이 남는 영화 입니다...글고 사진좀 퍼갈게요;;;문제되면 메일주세요	1
점점 갈수록 재미있어지는듯ㅠㅠ 꼬박꼬박 유일하게 보는 드라마ㅠㅠㅠ박세영도이쁘고 이상우도 멋있고 배역마다 다매력있는듯ㅠㅠ!!다른 사람들도 이 드라마의 매력을 알면 좋으련만..	1
영화가 끝날 때즈음 병상에 항상 누워 계시던 할아버지가 몸을 일으켜서 보고 계신걸 봤습니다.	1
지금 봐도 모자람이 없게 느껴지는 연출과 그래픽. 15년 대장정의 멋진 시작!	1
재밌음!	1
그 어릴때 봤는데 엔딩이 무지 슬펐어요.	1
케이블에서 매번 해도 매번 끝까지 보게 되는 영화. 우리 사회가 킹콩같은 인간을 안아줄 수 있을까...	1
이건 뭐 대박이지	1
유머와 따뜻함에 투영된 아픔의 기억에 눈시울이 뜨거워집니다. 응원합니다!	1
연출. 내용. 연기. 음악. 조명. 스타일링. 전부 굿!!! 그리고 이연희의 재발견!!!	1
타임머신 영화 중 최고일 듯 싶다.	1
"박해일이 나오는 영화 다 보고있는데진짜 너무 멋있는배우여기서 김혜수가 이렇게 연기를 잘했나 처음 느꼈고,마지막엔 가슴이 먹먹해지고 괜히 우울해진다.그치만 최고의 영화 ㅠ"	1
최근 역사저널 그날을 통해서 정여립의난에 관심이 많았는데 우연히 티비에서 채널돌리다가 봤는데 정말 재밋었음.. 다만 마지막 왜군이 한양에 침입했는데 이몽학이랑 견자랑 싸우는건 약간 쌩뚱맞은거 같았음...	1
"내용이 좀 오싹하긴 했지만, 나중에 결말이 좋았다."	1
진짜 재밋게봄...특히 남주 핵존잘 사랑합니다...	1
여러번 봐도 질리지 않을 만한 영화이다.	1
아 왜그런지 모르겠는데 왜 계속 소름 끼치다가 눈물이 나는지.. 여주인공의 연기는 정말 너무 완벽했다.. 이건 명작이다... 하	1
스포츠 영화의 최고봉	1
고양순씨인 최윤영씨 이쁘시고 만나뵙고쉽네요 고양순님 힘내세요 응원합니다 저는 님의팬입니다	1
감동 그 이상 현대무용 알수 있는 영화	1
요즘 나오는 킬링타임 영화가 이거보다 재미없다...	1
솔직히 뻔한 스토리였지만 섬세한 감정 표현은 좋았어요....	1
책으로 다시 봐야겠다.	1
차라리 이런 정치인이 나을것도 같다.	1
정말 멋진영화입니다이말밖에 더이상 표현할 방법이 없내요	1
엔딩크레딧에 홍련의화살 편곡((?) 된건가 그거 듣기 좋네요ㅎㅎㅎ 내용은 짜깁기 한거라ㅠㅠ	1
뒤늦게라도 볼 수 있어서 얼마나 다행인지!! 니시다 상 쵝오!	1
앞으로도 이 작품을 넘을수 있는 미드는 나오지 않을것 같음.	1
영화라고느껴지지않는다. 전쟁속에 있는 듯한 괴로움. 찢어지는 느낌.	1
어우 재미지다	1
정말 감동적이네요.. 정말정말.. 감동적이고 슬픈 영하네요..	1
유쾌해서 좋은영화	1
액션이 우선 꽤 괜찮습니다. 개성이 넘친다는 것에 후한 점수를 주겠습니다.	1
스토리도 재밌고 배우들 연기도 좋았음.	1
아름다운 풍경과 닮은 생명력을 지닌영화 상처받아도 털어낼수있고 다시사랑이 온다는 믿음으로 삶을 살고 응원하고싶은 그런 영화 그녀의 환호성을 계속 듣고 싶다	1
그냥 대박 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
이하늬 왜케 멋있늬 너만 기다리잖늬~~~~	1
10년전에 봤을땐 정말 재미있었음^^	1
성인이 봐도 즐거웟던 영화^^*	1
몇 번을 봐도 스펙타클하다!!!	1
"악마는 아직도 존재하고, 악몽은 아직도 계속된다"	1
쩐다 빨리조고싶당	1
보길 잘했다	1
예전에 더빙없이 나온걸 봤는데 애기랑 와서 더빙된걸 봤더니 조금 어색하긴 했지만 아이가 무척 좋아했다.	1
어렸을 때 부터 계속 혼자이었음에도 불구하고 항상 밝고 씩씩한 모습을 잃지 않으려고 노력했던 나루토... 이 영화를 보고 나루토의 고독함이 더욱 깊이 느껴져서 가슴이 너무 먹먹했다...	1
여러가지로 해석이 가능한 잘만든 영화	1
오늘 보았는데 예상밖에 볼거리와 극장에서 보라고해도 보고싶은 영화였네여	1
마음이 아프다 세상의 상처의 한부분이다. 하지만 치유되지 않겠지.	1
축구에 관심 없을 사람도 축구에 감동하게 되는 영화 진짜 강추입니다.	1
"치밀하지 못한 스토리를 커버하는 배우들의 연기력, 소재 무엇보다 코미디라는 장르의 충실함."	1
"로버트 다우니 주니어 연기좋고,,,영화내용좋고,,재미있고,,"	1
최고그레고리하인즈.	1
미국뽕을 제대로 맞은 영화긴 하지만 영화를 너무나도 잘 만들어놨다.	1
처음으로 글써보네요. 정말 몰입도 높은 영화에 방점을 찍은 설경구씨 연기력까지잘 봤습니다. 깎아내릴 영화가 아닌것같아요. 감정기복선 연출을 일부러 잠잠하게 한건진 모르겠지만 흐르듯이 볼 수 있는 영화였습니다. 감사합니다.	1
내용이 아주 깊네요 잘봤습니다	1
아내와 함께봤어요.어르신들도 여기저기흐느끼시더군요.백배공감합니다	1
내 인생 최고의 영화 보고 또 보게 되는 영화	1
10점	1
오아....저 이런 영화 너무 좋아요ㅎ	1
강동원 멋있음♡♡♡♡	1
유세윤씨 연기 잘봤습니다.	1
샤샤가 사랑스러우면서 웃음이 풉하고 나오는 캐릭터임...상황이 웃기게 연출이 되서 바보스럽기까지 하지만ㅎ 이쁘게 나옴..ㅎㅎ...참고로 친구로 나오는 자오는 한국인이라는 점~ㅎ	1
스토리 연출 모든면에서 부족하다. 그러나 10점을 줄수밖에 없는..그런 잔잔한 영화^^	1
최고다	1
멋진 영화! 레인맨 같은 느낌!	1
"이걸 10년도 전에 봤는데 아직까지 내 머리속에 ""공포""하면 바로 떠오르는 영화"	1
잔잔한 감동..	1
말이 필요허냐 ????	1
카모메식당 재밌게본 분들이면 이 영화도 재밌게 보실수있을거같아요 힐링의 초점보다는 전 주인공들의 따뜻한 마음씨에 초점을 맞춰서봤어요 첫번째 커플이 제일 기억에남네요~	1
조지 역할을 한 배우의 진짜 어머니에게 존경심이 든다. 영화 자체도 좋았지만 배우가 참 대단한듯... 이 영화는 가짜일 수 가 없다. 저 다운증후군 걸린 배우에겐 일상이 곧 현실이므로.	1
몇번을 봐도 재미있는 좀비영화. 스릴 있어요.	1
넘 보고싶은데 볼수있는방법이 없나요?어릴때 넘 재미있게 본기억이 있어서 다시보고싶어요	1
영화보는눈이 이렇게 없어서야...소재는 좀 그렇지만 완성도는 아주 높다..의미도..	1
영화를 보고 있으면 입가에 잔잔한 웃음이 남게되어 좋다.	1
스티븐스필버그는 진짜 천재다. 지금봐도 상당히 수준높은 영화..	1
역시 잘만든 007시리즈인데 7점대가 뭐니	1
좋음...좋아요..	1
"일상과 각 계절을 있는 그대로 담아내서 잔잔하기 떄문에 뇌파가 급격하게 알파파로 내려갈 수 있지만, 보고 또 봐도 질리지 않는 매력이 있어요. 빠르게 급변하는 현재에 비교하며 보면 더 재밌을 거에요"	1
미국근현대사의대한이해. 다니엘데이루이스의연기력. 디카프리오와카메론의외모	1
존나재밋구만ㅋㅋㅋ운명의장난이네 서로	1
"세상의 냉엄한 현실을 제작자의 편향된 의도나 메세지 없이 객관적으로 관객에게 던져 준 영화. 그들의 결정을 비난할 수도, 칭찬할 수도 없다...그냥 그렇게 돌아가는 세상일뿐..."	1
정말 즐겁고 슬펐다.	1
잘 만든 영화라고 생각한다.	1
뛰어난 영상미와 훌륭한 서사 특히 영상적 연출에서는 정말 경의를 표할 수 밖에 없다.	1
너무 멋지고 음악도 좋고 ㅠㅠ 등등 완전 감동.	1
이런 유쾌한 영화가 좋아.. good~	1
"2000억 이상이나 벌었는데 흥행실패??액션,캐스팅,스토리,반전,코미디 궁합 좋은 영화....참신하규"	1
adam	1
한국만화영화의 영원한 별빛	1
점~ 점 더 재밋게한다. 재밋게 보고 있습니다	1
"밀가루 이스트 물 소금만으로 만들어진 최고급빵.잔인한 장면없이도 섬뜩한 연출,연기!"	1
흠이라면 부자연스러운 액션씬	1
볼만 했어요. 잔인한건 그게 현실인걸 어쩌나.	1
여름마다 다시 보는 영화	1
솔직히 재미..를 주는 영화는 아니다..하지만..감동과..보고나면..여운이 깊게 남는다..더이상..의 평..은 안한다..별점..으로 모든걸 말하겠다	1
내 어릴적 본 영화중에 가장 기억에 남는 스릴넘치는 영화..	1
애니안봐서 모르겟는데 걍 킬링타임 괜찮앗음	1
재밌다 끊지도 않고 계속 봤다 굿	1
굉장이 신선한 소재라서 재미있게본영화 명작은 아니지만 이 영화를 제대로 즐길려면 헤드셋을 끼던가 조용한데서 보길	1
나의 마음이 따뜻해진다.	1
준면이 더빙 겁ㄴ나잘해요♥	1
헤이든 연기 안습 ㅋㅋㅋㅋㅋㅋㅋ 스타워즈는 좋은데 헤이든이 좀 ....... 골든 라즈 베리 탈 만하네 ㅡ.ㅡ	1
정말 명작이다 !!!	1
웬만하면 더빙보단 원작으로 보는데.. 이건 더빙으로도 봐요. 진짜 이 때 디즈니 더빙하신분들이 최고 !!	1
"최고다 아마겟돈, 딥임펙트와는 전혀다른해석의 종말영화. 외진곳에서의 종말을 맞는 설정은 절묘하다. 조용하고 차분히 그리고 급격히 받아들이게 된 마지막.."	1
다소 아쉬운 면도 있지만 그래도 최고의 감동~	1
과연 아이의 눈으로 전쟁을 바라본 영화가 얼마나 있을까?	1
보고나면 얼굴근육이 다 욱씬거린다.	1
어디하나 흠잡을 곳 없는 최고의 영화	1
너무 재밋게 보고있습니다 빛나거나 미치거나 떄문에 요즘 제가 미쳐버렷습니다 월화만 목 빠지게 기다려지네요 ㅋㅋ 너무 재밋네요 장혁과 오연서의 케미가 정말 짱입니다 물론 다른 배우들도 다들 잘하시고요	1
대박 드라마ㅋㅋㅋㅋㅋ	1
"2000년대 영화 중 손에 꼽을 정도로 걸작이라 생각한다. 전신마비 된 주인공의 내면을 환상과 꿈을 넘나들며, 대단한 비유와 은유가 담긴 연출이 돋보이고 한편의 다큐를 보는듯한 촬영도 인상적이며 400번의 구타를 오마쥬한 트래킹 쇼트도 최고였다."	1
기발하고 흥미진진한 모험! 진정한 어드벤쳐 영화	1
연기들도넘잘하고짱!	1
이런 영상물에 매우 관심이 많은 사람이다하지만 이영화는 너무 미흡하고 담은 것이 없다다음 부터는 유투부에 올렸으면 한다먼가 알지못한 이야기를 얻고자 했는데 정보는 없다그저 취재가면 취재를 못했다는 것 뿐.혹 흐름을 타고자하는 오해를 받을수도.	1
재밌다 재밌다 재밌다 10자	1
불교에 대한 선 이해가 있어야 보다 쉽게 볼 수 있는 영화^ㅡ^	1
볼만한데...?	1
좀 아쉽지만 평점올려주고 싶다!	1
자신을 버리지 않는 신념이 무엇인지 가르쳐 주는 영화....	1
"위대한내용과 한효주의 당차고,밝은연기 . 지진희의 깨방정 연기가 대박~~~~"	1
오늘 수퍼액션에서 보았는데 재미있네요.	1
"금성티비 1人 추가요 ㅋㅋ어릴때 정말 테이프가 늘어날때까지 보고또보고 했던 영화,,다시 보고싶네요~"	1
음악을 다뤄서 인지 재밌다	1
모든 여자들이 꿈꾸는 삶에도 말못할 사연이 있고majority는 minority를 몰이해하고 따시키고 비난을 당연시한다.하지만 욕망보단 더 큰 가치를 위해 각자의 길을 가는 케이시와레이몬드에게 박수를 보낸다.	1
"빌리역의 10살 엘리엇한나의 춤은 정말 감탄 그 자체...어린나이에도 불구하고 발레, 탭댄스를 완벽히 소화하는 걸 보면서 전율이 느껴졌어요. 넘버들도 좋고 감동적이고 진짜 최고입니다ㅠㅠ"	1
명감독과 명품배우가 만든 퍼펙트한 영화	1
정말 감동을 주는 영화이네요..ㅠㅠ	1
영화 곳곳에 한국의 풍경이 나타난다	1
설정이 꽤나 신선해서 기억에 많이 남는 괴수영화	1
장르영화 역사상 가장 로맨틱하고 가장 충격적이고 가장 복잡하다	1
남자다. 액션 스릴러 전쟁영화 좋아한다. 하지만 이영화에는 감히 별 5개를 주고싶다	1
지금도 한번만 다시보고싶어요..	1
다시 볼 때마다 조금 씩 더 영화에 다가가고 그 때마다 인생의 의미를 조금씩 더 알게 된다.	1
노희경 작가가 만든 작품들은 거의 흥행함	1
아무리~ 봐도 질리지가 않아~ ^^	1
지금봐도 정말 재미있는 영화 ㅋㅋ	1
너무어린나이에저질러진일인데~~저런상황이 닥치면 웬만한이성들은 서로호감이있다면 저런상황이연출될껄요.이미벌어진상황에서받아들이고본다면 두애들이지혜롭게잘이끌어가는것같아요.오히려어른들이숙연해져야한다는것..학생들에성논란을말하지마시고 영화내용그대로받아들이시기를..	1
90년대의 걸작중에 하나죠...	1
"첩보 스릴러를 색다르게 표현한 수작, 특히 현장과 현장이 아닌 곳에서의 차이를 확실히 비교해가며 미국의 현상황을 잘 나타내고 있는 영화."	1
"완전재밋음 ㅋㅋㅋㅋㅋㅋㅋㅋ와 최고 ㅋㅋㅋㅋ제니퍼나온거는 다재밋어, 몸매짱임"	1
역시 남자가 문제;; ㅋㅋㅋ황제놈때매 다 망함 ㅋㅋㅋ스테마루는 쓰레기임;;; 니 처자식은 어쩌라고 도망가재? 꼭 한폭의 그림이 흐르는것처럼 아름다운 영상미지만 남자들이 죄다 쓰레기임 공주말하는데 선녀뇬이 걍 날개옷입혀버림 헐 ㅋㅋㅋㅋ	1
아 진짜 영화포스터보고 안볼뻔했잖아...어휴...	1
이청아때문에 봤는 데... 진짜 일본인처럼 연기 잘한다..헉;;;	1
존 보이트 대사도 멋지고.... 정말 훌륭한 영화다.	1
숨겨진 호러 명작! 추천!	1
나는 홍콩반환전 홍콩영화중 느와르물의 매니아 엿다 이영화는 반환후의 멀어졋던 관심을 다시 잡아주엇던 기억이잇다 이젠 순수해서 다시보기 싫은영화다....	1
이 영화는 진정 희대의 역작이다. '코미디+스릴러'. 일단 개그코드가 나랑 맞아서 그런지는 모르지만 미치도록 웃기다. 특히 송새벽이 웃기다. 그리고 이 영화의 절반은 스릴러. 코메디영화에서 이 정도면 훌륭하다. 별점짠 나이지만 정말 간만에 9점주고싶다	1
캬.ㅎㅎㅎㅎ	1
좀 높여줘야지.. 배우들이 연기를 잘해서인지 전쟁전의 긴장감이 확 느껴지는 영화요!	1
방금 봤는데 정말 한마디로 표현할 수 없는 그런 명작이네요	1
2등이다 ㅋ ㅑㅋ ㅑ ㅋ ㅑ 재미없을꺼같엉	1
골때리게 재밌는 로드리게스표 영화	1
시높시스 위주로보시면 identity가 발견되는 영화	1
엄청난 걸작.'러시아에서날아온사랑' 최고의 영화중하나	1
"부연 설명이 필요 없다! 인간이 없는 동물이 주인되는 서커스를 위한 위대한 도전! 인간들, 반성하라!"	1
적위 오랜만에보는얼굴	1
울희집에능비디오도있댣! 이대근가슴 오예!	1
훈훈한가족드라마!!보는내내즐거워요~미소한가득♥	1
별점이 왜이래! 원래 만화를 영화로 만들면 항상 부족하다고 느꼇는데ㅜ 정말 재미있었어요ㅠ 와ㅜ 2도 만들어주세요!!!	1
최근 본영화중 가장 인상적인 영화... 가슴설렌다	1
이 만화 짱이다	1
"연기 연출 구성 등 모든 박자가 최고, 나의 탑5 중 하나의 영화가 될 것같다. 각자의 생각차가 있다지만 영화를 어떻게 봐야 이런 영화를 8점 밑으로 줄 수가 있는거지?"	1
그동안 시끄러운 영화들에 많이 오염됐던 나를 반성하게 만든 아름다운 영화	1
저에겐 소중하고 너무 이쁜 영화입니다 음악과 배경이 너무 좋습니다	1
재미있게 보고갑니다.	1
kbs에서 해주실때 정말 재미있게봤던 시리즈에요 꼭 한번더 해주세요 ㅜㅜ	1
"3번째 봤는데 볼 때마다 몰입감 최고네요. 심리묘사가 특히..다만 초한지를 안다는걸 전제로 중요 장면의 심리묘사에 치중하기 때문에, 배경지식이 없는 사람이 보면 재미 없을 수 있습니다. 씨네21 박평식 기자도 아마 배경지식이 없었던 듯."	1
마음의 힘을 믿어	1
진짜 꿈을 이뤄주는 영화다. 우린 어릴때부터 얼마나 티비속주인공과 함께 하고 싶었던가.. 너무흔한꿈이라그냥지나쳐버리는꿈을표현해준감독에게감사하다. 이젠그냥돈버는게꿈이되버린나에게잠시나마현실도피할수있고진정한꿈을이룰수있게해준영화다.	1
반지의 제왕의 웅장함은 함부로 넘볼수 없지	1
나바론2 비디오가지고계신분연락주세요	1
지난 겨울 정말 재밌게봄	1
유덕화는 별로였지만..장민때문에!!	1
개재밌다 쩐다 이런 비주얼과 다프트펑크의 음악 이정도의 영상미에서 스토리를 논하다니 영화볼줄 모르는 소리 이건 예술이다	1
어익후 초딩때 봣는데 포크테 먹고 싶네	1
환상적일 정도로 화려한 액션을 보여줍니다~	1
보이스 피싱이 기승인 우리나라에서.. 다른나라에는 저런일까지 지.... 세치 혓바닥이 무섭군요	1
잘만들어진 영화인데 생각보다 많이 알려지지 않아 아쉬운 영화.	1
진지하면서도 재밌고 감동적이예요추천하고 싶네요	1
와우 대박 대박	1
"123을 집중안해서인지 별로였는데 4는 정말 시간가는줄 모르고 봤다 분명 꿀잼인건 맞음 ,, 123을 다시 봐야겠군.."	1
기대 없이 봤다가 의외로 잼있어서 놀랐던.. 배우들이 거론될때마다 한번씩 생각나는 영화~	1
한국 공포물로 평범한 정도네 6점대면 괜찮을듯~	1
억지액션 억지감동 없이 현실성 있는 영화!	1
잼있고 가슴 뭉클하네요	1
오래간만에 봤는데 역시나 재밌다	1
재미있게본영화 입니다. 뽀송뽀송	1
good good good	1
이거 재미잇는데 사람들이 왜 추천을안하지?	1
배우들이 완벽하네요.. 보통 스파이물하고는 다르네요	1
어렸을떄 좋아했던 영화인데 지금 봐도 재밌네요^^	1
ㅎㅎ좋아염 넘넘웃김니당 님들은 얼마나 잼있으셔?	1
이제서라도 봐서 다행이다. 감동 감동 감동 감동 또 감동	1
러시아를 무시하는 사람들이 있네요 러시아는 19세기 유럽의 문화를 주도한 문화 강국	1
나는 강박증이라는 병을앓고있다 영화속 남주인공은 계획이아닌 강박증이라는 병을 앓고있는것이다이병을 좋은사람을만나 완치하게해주고 행복하게 잘표현한 영화이다 나도 이영화처럼 좋은계기가 있어서 완치하고싶다 이번설을 계기로 강박장애도 주인공처럼 완치하엿음좋겟다	1
"총, 칼 없이도 가능한 전쟁.."	1
다들 이렇게 사랑하는구나 나만 이렇게도 힘든게 아니었구나	1
이 드라마 볼만함	1
킬링타임 꿀잼. 영화관에서 보면 제격일듯	1
기대안하고 보다가 끝까지 보고 말았다.	1
목소리도 이상한데 쾌걸조로리때매 주는거임	1
먹먹하다 왜 공감이 갈까?	1
첨엔별관심이없었으나. .점점재미있고흥미로와지네요. .이준기씨팬이되었습니다	1
완벽그자체다완벽해진짜	1
다문화를 아이들에게 쉽게알려줘서 좋았다	1
의리	1
엔딩까지 명작이다. 막연히 감동만 전하는것도 아니다. 죽음보다는 삶에 대해 더 생각해보게되는 영화	1
생각보다 훌륭하다 볼만한 영화	1
일베에서 왔다 ㅋㅋ과메기들 이런것좀 봐고 좀 개념 좀 차리자 응?	1
봐도봐도 재밌는 영화 주식안해본사람도 보면 너무너무재밌는 영화	1
요즘 이렇게 착한 영화가 또 어딨으랴..	1
잔잔하고 여운이 깊게 남는 영화~	1
"사이프러스를 배경으로 흑인, 일본인, 중국인, 서양인, 거의 모든 인종이 영화에 등장한다. 부자나라 일본인이 흑인을 짐꾼으로 쓰고, 중국인은 똑똑하고 흑인은 멍청하다고 인종차별적인 요소가 나오고 왕조현, 임달화와 공동주연인 이원패가 변태로 설정되었다."	1
